MONTH,PATIENT,RAIN_ACCUM (mm),HUMIDIY (%),MAX_TEMP (°C),MIN_TEMP (°C),AVG_TEMP (°C)
1/31/2015,6,36.9,63,31.8,21.9,26.8
2/28/2015,0,13.6,67,33.6,24.2,28.2
3/31/2015,0,81,73,34.4,26.3,29.6
4/30/2015,0,75,70,35.1,26.8,30.3
5/31/2015,0,12.8,70,36,28.3,32.1
6/30/2015,6,100,71,35,27.4,31.7
7/31/2015,4,86.6,69,34.6,27.6,29.9
8/31/2015,0,134.3,70,34.3,27.2,29.9
9/30/2015,12,315.8,77,33.4,26.2,30.3
10/31/2015,0,156.4,77,33.4,25.9,30.5
11/30/2015,0,19.6,72,34.6,26.1,30.8
12/31/2015,0,50.9,70,33.6,24.7,28.6
1/31/2016,15,102.9,74,32.2,24,25.3
2/29/2016,0,20,67,33.3,23.7,26.2
3/31/2016,0,1.4,67,35.3,26.5,29.7
4/30/2016,0,9,65,37.1,28.4,32.8
5/31/2016,0,68.7,66,36.7,28.6,32.3
6/30/2016,0,167.5,73,34.6,27.4,30.7
7/31/2016,0,191.7,79,34,26.5,29.7
8/31/2016,5,244.6,77,34.1,27.2,30.1
9/30/2016,0,322.6,79,33.3,26.2,29.2
10/31/2016,0,261.3,80,33.2,26,30
11/30/2016,0,93.5,74,33.5,25.6,29.5
12/31/2016,0,17.8,66,32.7,24,28.4
1/31/2017,0,59.1,68,32.8,24.3,28.3
2/28/2017,0,0.5,66,34.3,24.1,28.2
3/31/2017,0,53,73,34.4,26.3,30.4
4/30/2017,0,59.5,74,35.2,27.1,31.6
5/31/2017,5,330,79,34.5,26.7,31.2
6/30/2017,5,144.7,72,34.3,27.2,30.2
7/31/2017,0,298.7,77,32.9,25.9,29.5
8/31/2017,0,149.2,75,34.1,27,30.1
9/30/2017,0,131.3,77,34.2,26.5,30.3
10/31/2017,0,183.2,78,33.2,25.6,29.4
11/30/2017,5,44.7,73,32.3,24.9,28.6
12/31/2017,0,8.7,65,31.7,22.7,25.6
1/31/2018,12,47,72,32.5,23.9,26.9
2/28/2018,0,22.9,72,32.2,23.5,28
3/31/2018,6,15.5,74,33.8,25.8,29.2
4/30/2018,0,207.8,77,33.6,25.8,28.9
5/31/2018,0,171.4,82,33.7,25.9,29.8
6/30/2018,5,114.7,76,33.9,27.1,30.2
7/31/2018,4,44.1,79,33.5,27.4,29.8
8/31/2018,0,97.4,77,32.7,26.5,29.6
9/30/2018,0,397.5,81,33.2,25.2,29.5
10/31/2018,0,186.3,79,34,25.5,30.2
11/30/2018,0,17.1,69,34.1,25.1,29.6
12/31/2018,0,11.1,72,34.3,25.3,30.4
1/31/2019,10,3.6,73,33.5,24.2,28.5
2/28/2019,0,40.7,74,33.3,26.1,29.7
3/31/2019,0,23.5,75,34.5,26.5,31.9
4/30/2019,5,79.5,72,36,27.8,31.5
5/31/2019,30,117.9,72,35.3,28,31.2
6/30/2019,72,143,75,34.2,27.2,30.5
7/31/2019,29,113.7,76,34,26.8,30.7
8/31/2019,20,90,77,33.2,26.4,29.8
9/30/2019,58,289.6,79,33.3,25.6,29.9
10/31/2019,85,125.1,80,34.3,25.4,29.9
11/30/2019,168,55.2,66,33.9,24.1,28.6
12/31/2019,0,17.8,66,33.1,22.5,26.9
1/31/2020,32,7,71,34,25.1,29.9
2/29/2020,18,7.8,71,34,24.8,29.8
3/31/2020,6,70.4,73,34.8,26.9,30.8
4/30/2020,0,147.4,77,35,27.1,30.2
5/31/2020,12,114.9,75,35.6,28.2,31.4
6/30/2020,0,161.1,83,33.8,26.8,30.1
7/31/2020,52,146.9,77,33.8,26.8,30.3
8/31/2020,74,169.3,79,33.7,26.6,29.6
9/30/2020,55,156.9,84,33.1,26.5,29.4
10/31/2020,20,246.9,83,31.5,24.9,28.2
11/30/2020,66,14.9,73,33.1,24.8,29
12/31/2020,0,13.1,67,32.3,23.4,26.8
1/31/2021,8,36.9,64,31.6,21.7,25.7
2/28/2021,28,3.6,73,33.6,24.1,28.9
3/31/2021,4,121.7,75,34,26.4,30.4
4/30/2021,22,146.5,81,33.6,26.3,30.1
5/31/2021,32,138.4,75,34.8,27.2,29.8
6/30/2021,24,93.9,74,34.6,27.6,30.2
7/31/2021,0,191.3,82,33.4,26.5,30.7
8/31/2021,10,136,82,33.8,26.9,29.7
9/30/2021,16,283.7,87,32.1,25.6,29.2
10/31/2021,22,155,83,32.6,25.4,28.3
11/30/2021,8,38.8,74,33.2,25,28.7
12/31/2021,0,5.3,62,32.2,22.8,27.2
1/31/2022,0,1.8,67,33.4,23.7,28.3
2/28/2022,0,50.6,72,32.8,24.6,28.5
3/31/2022,0,117.9,77,33.3,26.1,30.2
4/30/2022,13,130.8,70,34.6,26.2,27.7
5/31/2022,0,133,78,33.6,26.5,28.9
6/30/2022,97,127.3,75,34.5,26.9,30.4
7/31/2022,0,223,78,33.5,26.4,29.4
8/31/2022,2,187.2,77,33.1,25.8,29.2
9/30/2022,0,301.9,83,32.4,25.1,29.1
10/31/2022,153,78.3,75,33.2,24.7,28.5
11/30/2022,0,89.8,73,33.4,24.6,28.9
12/31/2022,4,17.8,64,32.5,22.5,26.3
